ID,Name,Data_Source,Distance_to_Polygon,Inside_Buffer (File Read (Task 1)),Radius_Dist
117,Point_117,Radius Search Result,0.0,Yes,989.75
118,Point_118,Radius Search Result,0.0,Yes,996.74
119,Point_119,Radius Search Result,0.0,Yes,1001.65
120,Point_120,Radius Search Result,0.0,Yes,1001.91
121,Point_121,Radius Search Result,0.0,Yes,1003.21
122,Point_122,Radius Search Result,0.0,Yes,1014.13
123,Point_123,Radius Search Result,0.0,Yes,1021.73
124,Point_124,Radius Search Result,0.0,Yes,1023.18
125,Point_125,Radius Search Result,0.0,Yes,1029.25
126,Point_126,Radius Search Result,0.0,Yes,1030.17
127,Point_127,Radius Search Result,0.0,Yes,1030.6
128,Point_128,Radius Search Result,0.0,Yes,1034.93
129,Point_129,Radius Search Result,0.0,Yes,1045.02
130,Point_130,Radius Search Result,0.0,Yes,1052.02
131,Point_131,Radius Search Result,0.0,Yes,1056.46
132,Point_132,Radius Search Result,0.0,Yes,1064.47
133,Point_133,Radius Search Result,0.0,Yes,1068.27
134,Point_134,Radius Search Result,0.0,Yes,1069.56
135,Point_135,Radius Search Result,0.0,Yes,1073.18
136,Point_136,Radius Search Result,0.0,Yes,1077.04
137,Point_137,Radius Search Result,0.0,Yes,1087.31
138,Point_138,Radius Search Result,0.0,Yes,1091.98
139,Point_139,Radius Search Result,0.0,Yes,1093.0
140,Point_140,Radius Search Result,0.0,Yes,1094.82
141,Point_141,Radius Search Result,0.0,Yes,1100.98
142,Point_142,Radius Search Result,0.0,Yes,1104.02
143,Point_143,Radius Search Result,0.0,Yes,1104.39
144,Point_144,Radius Search Result,0.0,Yes,1113.9
145,Point_145,Radius Search Result,0.0,Yes,1117.69
146,Point_146,Radius Search Result,0.0,Yes,1123.79
147,Point_147,Radius Search Result,0.0,Yes,1124.0
148,Point_148,Radius Search Result,0.0,Yes,1125.25
149,Point_149,Radius Search Result,18.86,Yes,1132.99
150,Point_150,Radius Search Result,0.0,Yes,1133.39
151,Point_151,Radius Search Result,0.0,Yes,1133.88
152,Point_152,Radius Search Result,0.0,Yes,1137.82
153,Point_153,Radius Search Result,0.0,Yes,1138.38
154,Point_154,Radius Search Result,0.0,Yes,1142.62
155,Point_155,Radius Search Result,32.82,Yes,1146.28
156,Point_156,Radius Search Result,39.85,Yes,1148.46
157,Point_157,Radius Search Result,0.0,Yes,1148.5
158,Point_158,Radius Search Result,0.0,Yes,1148.72
159,Point_159,Radius Search Result,23.5,Yes,1152.03
160,Point_160,Radius Search Result,46.08,Yes,1154.71
161,Point_161,Radius Search Result,72.79,Yes,1166.73
162,Point_162,Radius Search Result,40.79,Yes,1168.72
163,Point_163,Radius Search Result,0.0,Yes,1170.86
164,Point_164,Radius Search Result,0.0,Yes,1173.7
165,Point_165,Radius Search Result,0.0,Yes,1175.06
166,Point_166,Radius Search Result,0.0,Yes,1175.37
167,Point_167,Radius Search Result,32.21,Yes,1181.44
168,Point_168,Radius Search Result,78.51,Yes,1183.05
169,Point_169,Radius Search Result,0.0,Yes,1187.63
170,Point_170,Radius Search Result,89.76,Yes,1190.35
171,Point_171,Radius Search Result,0.0,Yes,1194.67
172,Point_172,Radius Search Result,74.42,Yes,1196.31
173,Point_173,Radius Search Result,0.0,Yes,1202.15
174,Point_174,Radius Search Result,0.0,Yes,1204.92
175,Point_175,Radius Search Result,100.5,Yes,1209.08
